title,description,category
Atención muy demorosa,"La atención de la última vez fue muy demorosa, pasaron varios días sin novedades. Esto viene pasando desde esta mañana.",RECLAMOS
La sala de directorio la necesito reservar para mañana,"La sala de directorio la necesito reservar para mañana, de un momento a otro. No es urgente, pueden revisarlo cuando tengan tiempo.",RESERVA_DE_SALAS
Capacitación para personal nuevo,"Propongo capacitar al personal nuevo en el uso del sistema apenas ingresan. Esto viene pasando hace ya una semana. Es una emergencia, no hay acceso a nada y somos varios equipos afectados.",SUGERENCIAS
El acceso a la carpeta compartida se cae cada cierto tiempo,"El acceso a la carpeta compartida se cae cada cierto tiempo, hace ya una semana.",RED
El navegador no abre de ninguna forma,"El navegador no abre de ninguna forma, justo antes de una reunión importante.",SOFTWARE
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando desde ayer en la tarde.,OTRO
La fuente de poder se ve la pantalla completamente negra,"La fuente de poder se ve la pantalla completamente negra, después de la última actualización.",HARDWARE
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando de un momento a otro. Afecta a toda la oficina al mismo tiempo, no es solo mi puesto.",OTRO
Duda sobre a quién contactar,"No tengo claro a qué área debo escribir para este tema, quería que me orientaran. Esto viene pasando hace ya una semana.",OTRO
Llevo dos semanas esperando respuesta,Llevo dos semanas esperando una respuesta a mi ticket anterior y nadie me ha contactado. Esto viene pasando desde esta mañana. Tengo una entrega importante y esto me lo está impidiendo.,RECLAMOS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando desde esta mañana.,OTRO
Mi clave de acceso se venció y no puedo renovarla,"Mi clave de acceso se venció y no puedo renovarla, desde ayer en la tarde.",ACCESOS
Capacitación para personal nuevo,Propongo capacitar al personal nuevo en el uso del sistema apenas ingresan. Esto viene pasando desde que volvimos de la semana de vacaciones.,SUGERENCIAS
Notificación por correo al cambiar estado,Sería bueno recibir un correo automático cada vez que cambia el estado de mi ticket. Esto viene pasando desde que volvimos de la semana de vacaciones.,SUGERENCIAS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando desde que volvimos de la semana de vacaciones.,OTRO
La red del laboratorio quedó completamente sin acceso,"La red del laboratorio quedó completamente sin acceso, de un momento a otro. Por favor priorizar, me está atrasando bastante.",RED
El navegador pide una licencia que no tengo activada,"El navegador pide una licencia que no tengo activada, de forma intermitente durante el día. Es urgente, no puedo seguir trabajando.",SOFTWARE
La sala de reuniones quiero cancelar mi reserva de esta semana,"La sala de reuniones quiero cancelar mi reserva de esta semana, cada vez que lo intento.",RESERVA_DE_SALAS
Me cerraron el ticket sin avisar,"Me cerraron el ticket anterior sin avisarme y el problema seguía sin solucionarse. Esto viene pasando de forma intermitente durante el día. Puede esperar, no me está bloqueando por ahora.",RECLAMOS
Recordatorio automático de reservas,Propongo agregar un recordatorio automático antes de que empiece una reserva de sala. Esto viene pasando desde esta mañana.,SUGERENCIAS
Técnico no llegó a la hora acordada,El técnico no llegó a la hora que habíamos acordado para revisar el equipo. Esto viene pasando de un momento a otro.,RECLAMOS
El punto de red de mi oficina aparece 'sin acceso a internet',"El punto de red de mi oficina aparece 'sin acceso a internet', de un momento a otro. No es urgente, pueden revisarlo cuando tengan tiempo.",RED
El proyector de la sala no reconoce el cable USB,"El proyector de la sala no reconoce el cable USB, hace ya una semana.",HARDWARE
El problema volvió a ocurrir,El problema volvió a ocurrir después de que lo dieron por resuelto la semana pasada. Esto viene pasando de forma intermitente durante el día.,RECLAMOS
Notificación por correo al cambiar estado,Sería bueno recibir un correo automático cada vez que cambia el estado de mi ticket. Esto viene pasando hace ya una semana.,SUGERENCIAS
La red del piso 3 no logra conectar,"La red del piso 3 no logra conectar, de un momento a otro. No es urgente, pueden revisarlo cuando tengan tiempo.",RED
El acceso al edificio no me deja entrar de ninguna forma,"El acceso al edificio no me deja entrar de ninguna forma, hace ya una semana. Ya es el segundo día sin poder trabajar por esto.",ACCESOS
Mi acceso a la carpeta compartida olvidé la contraseña y no puedo recuperarla,"Mi acceso a la carpeta compartida olvidé la contraseña y no puedo recuperarla, de un momento a otro. Es crítico: afecta a todo el piso y nadie puede trabajar.",ACCESOS
El proyector de la sala no enciende,"El proyector de la sala no enciende, desde esta mañana.",HARDWARE
El sistema de tickets aparece una pantalla de error en blanco,"El sistema de tickets aparece una pantalla de error en blanco, cada vez que lo intento.",SOFTWARE
Atención muy demorosa,"La atención de la última vez fue muy demorosa, pasaron varios días sin novedades. Esto viene pasando de un momento a otro. Sistema completo caído para todo el área, se necesita atención inmediata.",RECLAMOS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando cada vez que lo intento. Tengo una entrega importante y esto me lo está impidiendo.,OTRO
Notificación por correo al cambiar estado,Sería bueno recibir un correo automático cada vez que cambia el estado de mi ticket. Esto viene pasando después de la última actualización.,SUGERENCIAS
Mi cuenta de la vpn olvidé la contraseña y no puedo recuperarla,"Mi cuenta de la vpn olvidé la contraseña y no puedo recuperarla, de forma intermitente durante el día.",ACCESOS
El micrófono quedó con la pantalla azul,"El micrófono quedó con la pantalla azul, desde que volvimos de la semana de vacaciones. Ya es el segundo día sin poder trabajar por esto.",HARDWARE
Teams no reconoce mi usuario y contraseña,"Teams no reconoce mi usuario y contraseña, sin ningún cambio de mi parte. Puede esperar, no me está bloqueando por ahora.",SOFTWARE
El navegador pide una licencia que no tengo activada,"El navegador pide una licencia que no tengo activada, hace ya una semana. Es crítico: afecta a todo el piso y nadie puede trabajar.",SOFTWARE
Permitir adjuntar más de un archivo,Sería bueno que el sistema de tickets permitiera adjuntar más de un archivo a la vez. Esto viene pasando desde esta mañana. Ya es el segundo día sin poder trabajar por esto.,SUGERENCIAS
Recordatorio automático de reservas,Propongo agregar un recordatorio automático antes de que empiece una reserva de sala. Esto viene pasando de un momento a otro.,SUGERENCIAS
La red del laboratorio aparece 'sin acceso a internet',"La red del laboratorio aparece 'sin acceso a internet', después de la última actualización. No corre prisa, es solo para dejarlo registrado.",RED
El antivirus quedó pegado cargando y no avanza,"El antivirus quedó pegado cargando y no avanza, sin ningún cambio de mi parte. Afecta a toda la oficina al mismo tiempo, no es solo mi puesto.",SOFTWARE
Windows no abre de ninguna forma,"Windows no abre de ninguna forma, desde esta mañana. Es crítico: afecta a todo el piso y nadie puede trabajar.",SOFTWARE
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando hace ya una semana. Tengo una entrega importante y esto me lo está impidiendo.",OTRO
Mi usuario del sistema olvidé la contraseña y no puedo recuperarla,"Mi usuario del sistema olvidé la contraseña y no puedo recuperarla, de forma intermitente durante el día.",ACCESOS
Outlook aparece una pantalla de error en blanco,"Outlook aparece una pantalla de error en blanco, justo antes de una reunión importante. Sistema completo caído para todo el área, se necesita atención inmediata.",SOFTWARE
El monitor no responde a nada,"El monitor no responde a nada, de forma intermitente durante el día.",HARDWARE
Consulta general sobre un trámite,"Tengo una consulta general sobre cómo hacer un trámite, no encontré la información en la intranet. Esto viene pasando de forma intermitente durante el día.",OTRO
El mouse no reconoce el cable USB,"El mouse no reconoce el cable USB, justo antes de una reunión importante.",HARDWARE
Permitir adjuntar más de un archivo,"Sería bueno que el sistema de tickets permitiera adjuntar más de un archivo a la vez. Esto viene pasando desde esta mañana. Es una emergencia, no hay acceso a nada y somos varios equipos afectados.",SUGERENCIAS
Zoom no abre de ninguna forma,"Zoom no abre de ninguna forma, desde ayer en la tarde.",SOFTWARE
El monitor se congela cada rato,"El monitor se congela cada rato, desde ayer en la tarde. Afecta a toda la oficina al mismo tiempo, no es solo mi puesto.",HARDWARE
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando desde esta mañana.,OTRO
Mi usuario del sistema necesito que me den acceso,"Mi usuario del sistema necesito que me den acceso, después de la última actualización.",ACCESOS
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando hace ya una semana.,OTRO
Mi tarjeta de acceso dice que el usuario no existe,"Mi tarjeta de acceso dice que el usuario no existe, hace ya una semana.",ACCESOS
La conexión a internet no llega señal a mi oficina,"La conexión a internet no llega señal a mi oficina, hace ya una semana. Tengo una entrega importante y esto me lo está impidiendo.",RED
Solicitud de información,Necesito información sobre los horarios de atención de soporte técnico. Esto viene pasando de forma intermitente durante el día. Ya es el segundo día sin poder trabajar por esto.,OTRO
El auditorio la necesito reservar para mañana,"El auditorio la necesito reservar para mañana, desde ayer en la tarde.",RESERVA_DE_SALAS
El scanner se ve la pantalla completamente negra,"El scanner se ve la pantalla completamente negra, desde que volvimos de la semana de vacaciones.",HARDWARE
La red cableada de mi escritorio está muy lenta desde hace rato,"La red cableada de mi escritorio está muy lenta desde hace rato, cada vez que lo intento. Afecta a toda la oficina al mismo tiempo, no es solo mi puesto.",RED
Recordatorio automático de reservas,Propongo agregar un recordatorio automático antes de que empiece una reserva de sala. Esto viene pasando de un momento a otro.,SUGERENCIAS
Permitir adjuntar más de un archivo,Sería bueno que el sistema de tickets permitiera adjuntar más de un archivo a la vez. Esto viene pasando desde esta mañana.,SUGERENCIAS
La red cableada de mi escritorio se desconecta apenas me conecto,"La red cableada de mi escritorio se desconecta apenas me conecto, después de la última actualización.",RED
El notebook se ve la pantalla completamente negra,"El notebook se ve la pantalla completamente negra, sin ningún cambio de mi parte.",HARDWARE
El acceso a la carpeta compartida no carga ninguna página,"El acceso a la carpeta compartida no carga ninguna página, desde esta mañana. Es urgente, no puedo seguir trabajando.",RED
Mi cuenta de la vpn necesito que me den acceso,"Mi cuenta de la vpn necesito que me den acceso, desde ayer en la tarde. Ya es el segundo día sin poder trabajar por esto.",ACCESOS
Mi acceso a la carpeta compartida pide verificación en dos pasos y el código nunca llega,"Mi acceso a la carpeta compartida pide verificación en dos pasos y el código nunca llega, de un momento a otro. Es urgente, no puedo seguir trabajando.",ACCESOS
